staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,2,1.0,13.908487399981823,,13.89345469995169,13.908487399981823,14.408078000007663,14.408078000007663,14.408078000007663,14.707870999991428,14.892256399965845,right,1.0,1,1,0.4750323000480421,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
11,2,1.0,14.907569099974353,,14.89234799996484,14.907569099974353,15.406844899989665,15.406844899989665,15.406844899989665,15.706762899993919,16.123665699968114,left,-1.0,1,1,0.7103748000226915,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
12,1,1.0,16.139690999989398,,16.123757799970917,16.139690999989398,16.639506299979985,16.639506299979985,16.639506299979985,16.939324799983297,17.056504799984396,left,-1.0,0,0,0.4027958999504335,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
13,1,2.0,17.07210039999336,,17.056600699957926,17.07210039999336,17.572453400003724,17.572453400003724,17.572453400003724,17.87197669997113,18.005832399998326,right,2.0,1,1,0.4180725999758579,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
14,1,2.0,18.021393299975898,,18.005923699995037,18.021393299975898,18.520895899971947,18.520895899971947,18.520895899971947,18.820720299961977,19.021829599980265,right,2.0,1,1,0.4891453000018373,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
15,1,2.0,19.03726579999784,,19.021940300008282,19.03726579999784,19.536534899962135,19.536534899962135,19.536534899962135,19.836719699960668,20.08701789996121,left,-2.0,1,1,0.5418683000025339,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
16,0.5,1.0,20.10331400000723,,20.087115000002086,20.10331400000723,20.6025929999887,20.6025929999887,20.61914369999431,20.902413500007242,21.636720299953595,left,-1.0,0,0,1.0283041999791749,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
17,0.5,1.5,21.6510645999806,,21.63683759997366,21.6510645999806,22.151438699977007,22.151438699977007,22.151438699977007,22.4509565999615,22.78453669999726,right,1.5,1,1,0.6197010999894701,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
18,0.5,1.5,22.800231800007168,,22.78462849999778,22.800231800007168,23.29978389997268,23.29978389997268,23.29978389997268,23.60004619997926,23.834692500007804,left,-1.5,1,1,0.5323653999948874,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
19,0.5,1.5,23.849855199980084,,23.83478259999538,23.849855199980084,24.34986519999802,24.34986519999802,24.34986519999802,24.665232400002424,24.916101199982222,right,1.5,1,1,0.5568463999661617,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
20,0.5,1.0,24.93175369995879,,24.916196200007107,24.93175369995879,25.41531730000861,25.41531730000861,25.431505499989726,25.714266399969347,26.248220999957994,right,1.0,0,0,0.8261902999947779,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
21,0.5,1.5,26.264086899987888,,26.248319200007245,26.264086899987888,26.747754299954977,26.747754299954977,26.76373909995891,27.06276959995739,27.48145919997478,right,1.5,1,1,0.7161427999963053,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
22,0.5,1.5,27.496604099986143,,27.481550099968445,27.496604099986143,27.99544899998,27.99544899998,27.99544899998,28.29527879995294,28.579729999997653,right,1.5,1,1,0.57751020003343,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
23,0.5,1.5,28.59483580000233,,28.579860500001814,28.59483580000233,29.09505139995599,29.09505139995599,29.09505139995599,29.395149699994363,29.54570129996864,left,-1.5,1,1,0.445956900017336,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
24,0.5,1.0,29.56137069995748,,29.54582489997847,29.56137069995748,30.043598799966276,30.043598799966276,30.077488799986895,30.343376899953,30.661329399968963,left,-1.0,1,1,0.6138931000023149,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
25,0.5,1.0,30.676686099963263,,30.661443899967708,30.676686099963263,31.17609419999644,31.17609419999644,31.17609419999644,31.47566499997629,31.89368119998835,left,-1.0,1,1,0.7120032000239007,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
26,0.5,1.0,31.90868860000046,,31.89379249996273,31.90868860000046,32.408398400002625,32.408398400002625,32.408398400002625,32.70782730000792,33.44199139997363,right,1.0,0,0,1.0262428999994881,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
27,0.5,1.5,33.45737029996235,,33.442087800009176,33.45737029996235,33.95745459996397,33.95745459996397,33.95745459996397,34.25687359995209,34.70773649995681,right,1.5,1,1,0.7444995000259951,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
28,0.5,1.5,34.72349519998534,,34.7078244999866,34.72349519998534,35.22267359995749,35.22267359995749,35.23931829998037,35.52163679996738,35.9891872999724,right,1.5,1,1,0.7612916000070982,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
29,0.5,1.5,36.00517799996305,,35.98927779996302,36.00517799996305,36.487934199976735,36.487934199976735,36.50515699997777,36.78774949995568,37.08884829998715,right,1.5,1,1,0.5995843000127934,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
30,0.5,1.0,37.104676399962045,,37.0889443999622,37.104676399962045,37.60361940000439,37.60361940000439,37.620690499956254,37.90307199995732,38.32137610000791,left,-1.0,1,1,0.707136899989564,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
31,0.5,1.0,38.33692380000139,,38.32146649999777,38.33692380000139,38.835734999971464,38.835734999971464,38.835734999971464,39.13571859995136,39.569933699967805,left,-1.0,1,1,0.7284854999743402,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
32,0.5,1.0,39.585130899969954,,39.57002499996452,39.585130899969954,40.085108599974774,40.085108599974774,40.085108599974774,40.38466399995377,40.634894599963445,left,-1.0,1,1,0.5436677999678068,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
33,0.5,1.0,40.650498699978925,,40.635004199983086,40.650498699978925,41.15060569997877,41.15060569997877,41.15060569997877,41.449948699970264,42.033769199973904,left,-1.0,1,1,0.8736997999949381,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
34,0.5,1.0,42.04913030000171,,42.033862499985844,42.04913030000171,42.5493284999975,42.5493284999975,42.5493284999975,42.84891689999495,43.199259099958,left,-1.0,1,1,0.641046800010372,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
35,0.5,1.0,43.21543819998624,,43.19935179996537,43.21543819998624,43.698512999981176,43.698512999981176,43.71578019997105,43.99798559996998,44.31578999996418,right,1.0,1,1,0.6160012999898754,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
36,0.5,1.0,44.33051399997203,,44.31588849995751,44.33051399997203,44.83060960000148,44.83060960000148,44.83060960000148,45.12970039999345,45.7803855999955,left,-1.0,0,0,0.9434676999808289,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
37,0.5,1.5,45.79606399999466,,45.78050619998248,45.79606399999466,46.2966097999597,46.2966097999597,46.2966097999597,46.61316819995409,47.02937229996314,left,-1.5,0,0,0.7216615999932401,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
38,0.5,2.0,47.044734800001606,,47.02946829999564,47.044734800001606,47.54481190000661,47.54481190000661,47.54481190000661,47.844689499994274,48.39457889995538,right,2.0,1,1,0.8398162000230514,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
39,0.5,2.0,48.410494399955496,,48.39467099995818,48.410494399955496,48.90971789998002,48.90971789998002,48.90971789998002,49.21047879999969,49.42783119995147,left,-2.0,1,1,0.5167986999731511,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
40,0.5,2.0,49.44320089998655,,49.427953300008085,49.44320089998655,49.94227459997637,49.94227459997637,49.94227459997637,50.24202810000861,50.47608489997219,left,-2.0,1,1,0.5241141999722458,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
41,0.5,1.5,50.49269099999219,,50.47618130000774,50.49269099999219,50.99187480000546,50.99187480000546,51.008228399965446,51.2919222000055,51.49248049996095,right,1.5,1,1,0.4876911000465043,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
42,0.5,1.5,51.507537099998444,,51.49257139995461,51.507537099998444,52.00758199999109,52.00758199999109,52.00758199999109,52.307712299982086,52.49144819995854,left,-1.5,1,1,0.47412700002314523,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
43,0.5,1.5,52.50721519999206,,52.491539799957536,52.50721519999206,52.989335699996445,52.989335699996445,53.02293859998463,53.29002869996475,53.54024139995454,right,1.5,1,1,0.537080199981574,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
44,0.5,1.0,53.55556720000459,,53.54033469996648,53.55556720000459,54.056112199963536,54.056112199963536,54.056112199963536,54.354994099994656,54.95546490000561,left,-1.0,1,1,0.885929899988696,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
