trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
60,0,60,0,107.03216650000832,,106.97376020000956,10,107.03216650000832,107.03216650000832,0.039803500010748394,108.8099160999991,[-0.049074074074074076],[-0.1638888888888889],[1],[0],[0],[1.7967338000016753],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
61,0,61,0,108.85002019999956,,108.81488050000917,,108.85002019999956,108.85002019999956,0.021747499995399266,110.96693850000156,[-0.4324074074074074],[0.2759259259259259],[1],[0],[0],[2.1305436000111513],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
62,0,62,0,111.00312350000604,,110.97166720000678,,111.00312350000604,111.00312350000604,0.01951769999868702,112.5486904999998,[-0.24351851851851852],[-0.04537037037037037],[1],[0],[0],[1.5578324000089196],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
63,0,63,0,112.58506019999913,,112.55349849999766,,112.58506019999913,112.58506019999913,0.018837600000551902,114.37991699999839,[0.15648148148148147],[-0.37962962962962965],[1],[0],[0],[1.8079435999970883],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
64,0,64,0,114.4182870000077,,114.38498020000407,,114.4182870000077,114.4182870000077,0.02090759998827707,115.87823950000165,[0.45925925925925926],[-0.39537037037037037],[1],[0],[0],[1.4727940000011586],[],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
65,0,65,0,115.91829139999754,,115.88300660000823,,115.91829139999754,115.91829139999754,0.022167600007378496,118.4748671999987,[-0.48703703703703705],[-0.4],[1],[0],[0],[2.57013310000184],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
66,0,66,0,118.52050660000532,,118.47945890000847,,118.52050660000532,118.52050660000532,0.025959400009014644,120.27394440000353,[0.08611111111111111],[-0.046296296296296294],[1],[0],[0],[1.7689135999971768],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
67,0,67,0,120.31193160000839,,120.27861860000121,,120.31193160000839,120.31193160000839,0.02133190000313334,122.37246610000147,[0.3861111111111111],[0.3037037037037037],[1],[0],[0],[2.072846800001571],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
68,0,68,0,122.43015949999972,,122.37729390000459,10,122.43015949999972,122.43015949999972,0.03687310000532307,124.5755477000057,[-0.487962962962963],[-0.003703703703703704],[1],[0],[0],[2.161816399995587],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
69,0,69,0,124.636820300002,,124.58021820000431,10,124.636820300002,124.636820300002,0.03900059999432415,125.67163670000446,[-0.47314814814814815],[0.040740740740740744],[1],[0],[0],[1.0527559999900404],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
