trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr&,participant,session,date,expName,psychopyVersion,frameRate,expStart,
92,0,92,0,145.76124229998095,,145.72831239999505,5,145.76124229998095,145.76124229998095,0.020163799985311925,147.87134199999855,[-0.3212962962962963],[-0.4074074074074074],[1],[0],[0],[2.1232481000188272],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
93,0,93,0,147.9081726000004,,147.87593409998226,5,147.9081726000004,147.9081726000004,0.0205052999954205,149.57136039997567,[-0.2675925925925926],[-0.13055555555555556],[1],[0],[0],[1.675124599976698],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
94,0,94,0,149.6391362999857,,149.57817999998224,,149.6391362999857,149.6391362999857,0.04406149999704212,151.0638140999945,[-0.18611111111111112],[0.10925925925925926],[1],[0],[0],[1.4419065000256523],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
95,0,95,0,151.12602779999725,,151.0690537999908,,151.12602779999725,151.12602779999725,0.03943279999657534,152.9550397999992,[-0.49722222222222223],[-0.41574074074074074],[1],[0],[0],[1.8470514000218827],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
96,0,96,0,152.990648099978,,152.9596334999951,5,152.990648099978,152.990648099978,0.01878819998819381,154.89890430000378,[-0.06666666666666667],[0.4185185185185185],[1],[0],[0],[1.920896099996753],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
97,0,97,0,154.96431759998086,,154.90435909997905,,154.96431759998086,154.96431759998086,0.04271170002175495,156.97827160000452,[-0.13240740740740742],[0.325],[1],[0],[0],[2.0315387999871746],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
98,0,98,0,157.01692880000337,,156.98310449998826,5,157.01692880000337,157.01692880000337,0.020765799999935552,159.29608810000354,[-0.17592592592592593],[-0.4787037037037037],[1],[0],[0],[2.2928289999836124],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
99,0,99,0,159.35731049999595,,159.30116020000423,,159.35731049999595,159.35731049999595,0.03897839999990538,161.00392339998507,[0.2111111111111111],[-0.19074074074074074],[1],[0],[0],[1.6641103000147268],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
100,0,100,0,161.04181470000185,,161.00859959999798,5,161.04181470000185,161.04181470000185,0.02030970001942478,162.34270339997602,[0.2388888888888889],[-0.2833333333333333],[1],[0],[0],[1.3140973999979906],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
101,0,101,0,162.40542999998434,,162.3473221999884,,162.40542999998434,162.40542999998434,0.040445800026645884,164.19647759999498,[-0.11388888888888889],[-0.3712962962962963],[1],[0],[0],[1.8090812000154983],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
102,0,102,0,164.25441819999833,,164.20134929998312,,164.25441819999833,164.25441819999833,0.03584619998582639,165.63663679998717,[0.07407407407407407],[0.07407407407407407],[1],[0],[0],[1.3995956999715418],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
103,0,103,0,165.67339959999663,,165.64147479998064,5,165.67339959999663,165.67339959999663,0.01905059997807257,167.32191859997693,[0.22407407407407406],[-0.23148148148148148],[1],[0],[0],[1.6617744000104722],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
